Fecha_Ocurrencia,Codigo_Accidente,Direccion,Barrio,Vehiculos Involucrados,Heridos,Tipo_accidente,Muertes SI/NO,# Muertes,Clase de Accidente
06/25/2022 12:00:00 AM,A001456813,CALLE 16 CARRERA  25   SIN INFORMACIÓN DEL BARRIO,SIN INFORMACIÓN DEL BARRIO,2,0,DA�OS MATERIALES,0,0,CHOQUE
06/25/2022 12:00:00 AM,A001456814,MALECON TURISTICO    MALECÓN TURISTICO,MALECÓN TURISTICO,2,0,DA�OS MATERIALES,0,0,CHOQUE
06/16/2022 12:00:00 AM,A001456815,CALLE 13 CARRERA  20   COOPERATIVO,COOPERATIVO,2,0,DA�OS MATERIALES,0,0,CHOQUE
44748,C-001441436,KILOMETRO 47+300 MTS     VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,3,0,DA�OS MATERIALES,0,0,CHOQUE
06/16/2022 12:00:00 AM,C-001479120,KILOMETRO 48+000MTS   VEREDA EL CENTRO  VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,3,5,HERIDOS,0,0,ATROPELLO
06/28/2022 12:00:00 AM,C-001479133,VÍA GRANADA-VILLAVICENCIO,VÍA GRANADA-VILLAVICENCIO,2,0,DA�OS MATERIALES,0,0,CHOQUE
44627,A001456817,KILOMETRO 10 VÍA DINAMARCA  VEREDA   MONTELIBANO,No registra,2,2,HERIDOS,0,0,CHOQUE
44627,A001456816,CALLE 16 CARRERA 34   BACHUE,BACHUE,2,1,HERIDOS,0,0,CHOQUE
44688,A001456818,CALLE 13 CARRERA 14   JUAN MELLAO,JUAN MELLAO,2,2,HERIDOS,0,0,CHOQUE
44780,A001456820,DIAGONAL 15  26 - 142 DON BOSCO,DON BOSCO,1,2,MUERTOS,1,1,CHOQUE
44780,A001456821,CALLE 12 CARRERA 35   NUTIVARA,NUTIVARA,2,0,DA�OS MATERIALES,0,0,CHOQUE
44811,A001456822,KILOMETRO 3+400 VÍA  VEREDA   EL CENTRO,No registra,2,2,MUERTOS,1,2,CHOQUE
